Text,Category
"He has specialised in helping competitors fulfil their potential through psychology and has worked with the Great Britain women's curling team, who won gold at the 2002 Winter Olympics. Mark Lewis-Francis sought Collins' advice in Athens when he was looking for inspiration before he ran the final leg of Britain's surprise triumph in the 4x100m relay. Collins has played rugby at regional level, was captain of the Great Britain American Football team, and competed at national level in judo and karate. He arrives with British athletics at a crossroads. Despite Kelly Holmes' golden double and the success of the sprint relay squad, the GB team failed to live up to expectations in Athens. Many older competitors have retired or are coming to the end of their careers, and Britain failed to win a single medal at the world junior championships in Italy this year. Collins will not have day-to-day coaching contact with the athletes, but will be expected to make changes to the system and coaching set-up in order to secure medals at the Beijing Olympics in 2008. The appointment of a new performance director was one of the main recommendations in Sir Andrew Foster's review of the sport, which was published in May. It was commissioned by UK Sport and Sport England, which wanted UK Athletics to justify funding of more than Â£40m from the Government following the failure to hang on to the 2005 World Championships, which are now being held in Helsinki. Van Commenee dropped out of the selection process to take on the same role with the Dutch Olympic Committee, while Connor's application was rejected after an arduous interview process. Foster, however, declared himself satisfied with how the appointment was made. ""The appointment of David Collins, with his strong mix of leadership skills and managerial experience, is testament to the professional and detailed recruitment process,"" he said.",sport
"Ruud is the best striker in Europe. What I have to judge is whether he will struggle with the early pace after being out for so long, he said. ""His ability puts him in with a big shout but it is a major decision."" Ferguson, though, is confident his young players, particularly Wayne Rooney and Cristiano Ronaldo, are up to the task. ""We have an opportunity to win this cup this year, no question about that,"" he declared. ""With the maturity we see every week in Ronaldo and Rooney, the return of Van Nistelrooy and the form of Roy Keane, Paul Scholes and Ryan Giggs, we must have a fantastic chance."" It is a view shared by Rooney, who believes ""if we can get past Milan, we have a great chance"". ""As soon as I knew we were playing Milan, I got excited. Looking at the draw, it is anyone's trophy but we have every chance. ""Hopefully, we can get to that final in Turkey and bring the cup back to Manchester."" Milan coach Carlo Ancelotti said his team were looking forward to returning to the venue where they lifted Europe's most prestigious club title two seasons ago. Milan beat Juventus in a penalty shootout after a 0-0 tie at Old Trafford and Ancelotti said: ""We are all very happy to return (to Old Trafford) to play in the Champions League and this will give us great motivation."" Ancelotti said he was aware of the threat United posed to his hopes of Champions League glory. ""It's fundamental that we don't allow them to take control of the game. Our intention is not to adapt to their play but to play our game,"" he said. ""They have great quality in attack, they use the wings a lot and we will have to make sure we stop them.""",sport
"Joe Cole had a shot blocked and a promising Damien Duff break was halted by a good tackle from Djimi Traore, but the Reds reached half-time without any major scares. The Blues began the second half with more urgency and pegged Liverpool back. Nevertheless, Liverpool were living dangerously and they needed a fantastic double save from Dudek on 54 minutes, first at full stretch from Gudjohnsen's header, then to smother William Gallas' follow-up. And despite Chelsea's possession, it was Liverpool who fashioned the next clear opportunity as Luis Garcia fed Dietmar Hamann whose shot forced a superb save from Cech. And the Blues' increasingly adventurous approach saw Liverpool earn another chance on the break on 75 minutes as Paulo Ferreira denied Gerrard with a last-ditch tackle. But Gerrard was on the scoresheet minutes later - in the most unfortunate fashion - as he inadvertently deflected Ferrerira's free-kick past his own keeper and in off the post to bring Chelsea level. That prompted Mourinho's reaction which saw him sent off, but Chelsea still pressed and Duff had a chance to win the game with seven minutes remaining. Dudek saved bravely at the Irishman's feet, while Milan Baros shot wildly at the other end to ensure extra time. Drogba almost headed Chelsea in front two minutes into extra-time but the striker saw the ball rebound off the post. But seconds after the half-time interval, Drogba made no mistake, picking the ball up from Glen Johnson's long throw inside the six-yard box and sidefooting home. And Kezman appeared to have made the game safe as he netted from close range after Gudjohnsen's cross in the 110th minute. There was still drama as Nunez beat Cech to a high ball with six minutes remaining to head his side level, but despite Liverpool's desperate attacks, Chelsea clung on to win.",sport
"They have got strength in depth, great players, an outstanding manager in Jose Mourinho and finances no other club in the world can match. All they need to add now is the big prizes which, as we all know, is the most difficult part of all. One thing is certain - they have put themselves in a position to make that leap to success very impressively indeed. They beat a very tough Everton at Stamford Bridge, won at Newcastle in the Carling Cup, and then won 4-1 at Fulham, which was a great result given that they had been showing good form. As I said, winning the major honours is the hardest task of all, but in Mourinho they have a manager who will make it a whole lot easier to handle the anticipation and expectation that will come their way now. Mourinho has won the biggest club prize of all, the Champions League, and that track record and confidence transmits itself to top players. It is a priceless commodity. No-one can be anything other than highly-impressed by Mourinho. He is regarded as a touch arrogant by some people, and maybe he can appear that way, but he has the silverware to back up the talk. Mourinho doesn't simply talk a good game - he's won some very big games such as the Champions League final with Porto. Some may criticise his talk, but the words are backed up with actions. I've also found him to be very realistic whenever I've heard him. He's spent a lot of money and it seems to be working, and we should remember lots of managers have spent money and it has not worked. The buys are now integrating, and in Arjen Robben he has the player who is giving them that extra dimension.",sport
"Souness's former assistant at Rangers is hot favourite to take over from Vogts, who resigned on Monday. ""Walter is most definitely the ideal candidate for that job. He'd be perfect for it,"" Souness told BBC Sport. The Scottish Football Association has appointed Tommy Burns as provisional caretaker-boss for the friendly against Sweden on 17 November. ""He fits the bill because of his knowledge and understanding of the Scotland team and football. He is experienced and has been successful."" Souness added: ""Walter is a real football person, as I know from working with him at Ibrox. ""On top of all that he is a proper human being who would command the instant respect of the players and everyone involved in Scottish football."" Souness joined Sir Alex Ferguson in backing Smith's claims. The Scottish Football Association is about to embark on the search for Vogts successor after appointing Tommy Burns in a caretaker capacity. Ferguson said: ""He (Smith) would be the outstanding candidate as far as I'm concerned. ""You need somebody who knows what they're doing and Walter would bring a wealth of experience to the job."" The Man Utd boss continued: ""I don't know what credentials are needed to do the job but it's a job that needs a lot of experience. ""He was my assistant with Scotland and here at Manchester United and he has also managed Glasgow Rangers. ""He would need to change the whole shape of Scottish football and radical changes are needed."" Smith was assistant to Ferguson at the World Cup in Mexico in 1986. The former Everton and Rangers boss has been out of the game since a spell as Manchester United assistant last term. BBC Sport understands that Smith would be willing to discuss taking over if he was approached by the Scottish FA.",sport
"Back at pre-Olympic ranch in Greece, it must have seemed that things couldn't have got any worse but they very nearly did with walker Jamie Costin lucky to escape with his life after being involved in a car crash near Athens. Once the track and field action began in Athens, a familiar pattern of underachievement emerged although Alistair Cragg's performance in being the only athlete from a European nation to qualify for the 5,000m final did offer hope for the future. Our beloved Sonia scraped into the women's 5K final as a fastest loser and for a couple of days, the country attempted to delude itself into believing that she might be in the medal shake-up. As it happened, she went out the back door early in the final although there was nothing undignified about the way that she insisted on finishing the race over a minute behind winner Meseret Defar. It later transpired that Sonia had been suffering from a stomach bug in the 48 hours before the final although typically, the Cobhwoman played down the effects of the illness. Amazingly, she was back in action a couple of weeks later when beating a world-class field at the Flora Lite 5K road race in London and while her major championship days may be over, it's unlikely that we have seen the last of her in competition. At least Sonia managed to make it to Athens. At the start of the year, several Northern Ireland athletes had genuine hopes of qualifying for the Games but come August, an out-of-form and injured Paul Brizzel was the lone standard bearer for the province. The Ballymena man gave it a lash but his achilles problem, and a bad lane draw, meant a time of 21.00 and an early exit.",sport
"Well, at least there used to one. Now there is a handful to look back with a mixture of satisfaction, and sorrow. It has been quite a year for the Irish, and not just with Eddie O'Sullivan's Triple Crown winning international outfit either. Right down through the ranks Irish rugby is creating waves and upsetting the more established teams in the game. But most of the kudos will go to O'Sullivan and his merry band of warriors who not only collected their first Triple Crown for 29 years, but also finished their autumn campaign with a 100% record. For the second year in succession they also finished in the runners-up spot in the RBS Six Nations. But in the three games in November which included a victory over Tri-Nations champions and Grand Slam chasing South Africa, Ireland finsihed the year on a high. The 18-12 victory at Lansdowne Road was only their second victory over the Boks after the initial success back in 1965. That success was revenge for the consecutive defeats in Blomefontein and Cape Town in the summer. Those two reverses and the 35-17 flop against France, were the only dark patches in an otherwise excellent 12 months. But the big one, of course, was the 19-13 defeat of World Cup champions England on their precious Twickenham turf. The winning try was conceived in O'Sullivan's mind, perfectly executed by the team and finished immaculately by Girvan Dempsey. For me, the try of the Championship. O'Sullivan's career is now in vertical take-off mode. It is no wonder that Sir Clive Woodward has elevated the Galway-based coach to head the Lions Test side. Not only that, but a fair majority of the present Ireland side will be wearing red next June in New Zealand.",sport
"Maybe when I turn 60 and have been managing in the same league for 20 years and have the respect of everybody I will have the power to speak to people and make them tremble a little bit. The referee controlled the game in one way during the first half but in the second they had dozens of free-kicks. It was fault after fault, dive after dive. ""But I know the referee did not walk to the dressing rooms alone at half-time. He should only have had his two assistants and the fourth official with him, but there was also someone else."" Referees chief Keith Hackett believes Mourinho should retract his comments about Ferguson and Barry as he believes the Blues boss has questioned their integrity. ""I'm hoping he might reconsider his comments, unfortunately this is the nature of the game,"" said Hackett. ""I don't want referees or myself getting in the psychological warfare between two managers. For the second leg we have an experienced referee, and we should be talking about the quality of that game rather than the refereeing. ""Sometimes managers have grounds for comments, and I note that, but a referees integrity has been questioned, that is offensive and should be avoided. Mr Mourinho should look at the facts."" Mourinho added that the match was entertaining for a goalless draw and insisted his team could still reach the final. ""It's 0-0, so if we win we go through and if we get a draw we go to extra time,"" he said. ""We have exactly the same chance we had before this game. ""We are confident of getting a result but we know what Manchester United is, a footballing power. It'll be difficult for us, but also for them.""",sport
"Exeter City face a home tie against Middlesbrough if they can see off holders Manchester United in a replay. Oldham's reward for beating Manchester City is a home tie with Bolton, while Yeovil will be away to Charlton. Chelsea host Birmingham, Tottenham travel to West Brom and Arsenal will entertain Championship side Wolves. Saints boss Redknapp was upbeat about the draw despite having to face the club he walked out on just six weeks ago. ""I've said before, I can walk away from Portsmouth with my head held high, I'm proud of what I did there and no one can take that away from me,"" said Redknapp. ""Maybe I'll be in for some stick, there's always some of that but we'll get on with it and it's only a game of football."" Birmingham manager Steve Bruce admitted their trip to Stamford Bridge to face Premiership leaders Chelsea was the toughest draw possible. Bruce said: ""I'm still in shock. We've given good accounts of ourselves against Chelsea in the past and played well when we lost 1-0 at home at the start of the season - but that's the past. ""But it's the best competition in the world as far as I am concerned and we will give it our best shot."" Brentford boss Martin Allen remained cautious despite his side's favourable draw - a home tie with either Hartlepool or Boston. ""The best thing is, it's a home game. However, we know that whoever we play it is going to be a really tough game,"" said Allen. ""But it's not about the opposition, it's about us. We all want to get through to the next round and face a massive team, that's the way it is.""",sport
"United sensed a chance to finish the tie as a contest early on and Ronaldo blazed over before Jones saved well from Scholes and then Rooney. The visitors' pressure by now was incessant and Rooney had another shot blocked while Ronaldo slammed well over the bar again from a good position. Just before the break Giggs had a golden chance to double the advantage, but the Welshman dragged a left-foot effort badly wide from 10 yards. In stoppage time Exeter created their best chance as Alex Jeannin swung in a cross from the left that Devine managed to flick goalwards, but the ball flew wide of Howard's goal. The Grecians came out after the break in determined fashion and Howard had to show safe hands to collect two searching crosses into the United box. Rooney looked like he might have sealed the result with a turn and shot but the ball stuck in the St James Park mud and Jones raced back to gather on the goalline. Moments later Devine had the chance to make himself a hero, but he could only volley Jeannin's brilliant cross wide of Howard's goal after being left unmarked six yards out. After Rooney had completely messed up a free-kick 20 yards out Taylor showed him how it should be done, his stunning drive from distance forcing a flying stop from Howard. The home crowd were baying for a goal and they did get the ball into the net only for Devine's low effort to be ruled out for an obvious offside. The persistent Rooney eventually rounded Jones with three minutes to go and slotted into an empty net to book a home tie with Middlesbrough in the fourth round.",sport
"The agent also stressed that nothing should be read into the 30-year-old's father being in Scotland and talk of a move back to Botafogo in Brazil. Juninho's father was simply in the country to see his son and grandchildren. ""I know there is interest from a Brazilian club, but I know Juninho doesn't want to go there,"" said Hassel. ""He wants to stay in Britain. In fact, he wants to stay at Celtic."" Hassall made it clear that a move to Manchester City, who are badly in need of a midfield play-maker, was more of a possibility than Botafogo, or Mexican outfit Red Sharks Veracruz, who also expressed an interest. ""It was a thought at one stage,"" he said. ""If you are not going to get a game under one manager, you look for another whose style of play suits you. ""He is a fan of Kevin Keegan's style of play. It would not be a bad move for him."" Juninho had earlier told the Daily Record: ""The manager has had a lot of chances to put me in his team but it hasn't happened. ""If that is the case then this is the opportunity for me to go. That would be good for the club and good for me. ""If I have no part in his plans, there is no point in remaining here waiting for a chance that never comes."" The attacking midfielder also claims he has not had the backing of boss Martin O'Neill since his move to Celtic Park. ""I can't understand why I am in this situation,"" he continued. ""When a manager brings a new player to the club, he gives that player support.""",sport
"It's going to be a tough jon and the first task is to stabilise the cash flow and sort out the remaining creditors, Bates added. ""But there is light at the end of a very long tunnel. For the past year it has been a matter of firefighting - now we can start running the club again."" Outgoing Leeds chairman Gerald Krasner said: ""This deal ensures the medium to long term survival of the club and I believe Mr Bates' proposals are totally for the benefit of the club. ""We are content that under Mr Bates, Leeds United will continue to consolidate and move forward. ""When we took over Leeds United in March 2004, the club had a debt of Â£103m, since that date, my board has succeeded in reducing the debt to under Â£25m. ""We worked tirelessly to solve all of the problems at Leeds United. ""Eighty percent of the problems have already been overcome and we came to this agreement with Mr Bates to secure its ongoing success."" Krasner revealed that his consortium has been asked to remain in the background at the club for an undisclosed period to help ensure a smooth hand-over. He will stay on in an unpaid capacity while Peter Lorimer will continue in his role as director and point of contact for the fans and Peter McCormick will serve as a consultant to the incoming board. The other outgoing directors have agreed to leave their loans of Â£4.5m in the company for the next four years. On Leeds' new-look board it is understood that Lorimer will be joined by former Chelsea finance director Yvonne Todd and Bates' lawyer Mark Taylor.",sport
"Right now I feel that a little bit, he told BBC Sport. ""I've dominated all the top ten players. They say nice things about me because I have beaten them all. I am dominating the game right now and I hope it continues!"" The number one player in the world is also the main man for promoting the sport off court. He has just been voted, by the International Tennis Writers, as the best ""Ambassador for Tennis"" on the ATP Tour. He has time for everyone. Every match, from first round to final, is followed by a series of press interviews in three languages; English, French and Swiss-German. After a major win, there are extra requests, obligations and interviews, all seen through to the end with courtesy and, most importantly, good humour. ""You guys are funny, I have a good time with you guys,"" he said, genuinely happy to talk into yet another tape recorder. ""I see you pretty much every day on the tour so to give away an hour for interviews is really no problem for me. ""If I can promote tennis and the sport then that is good for me. People say thanks back and that is nice."" What a refreshing attitude from someone who could easily dominate the sports pages for a decade. It sums up his modest personality. Shortly after collecting a Waterford Crystal trophy, a Mercedes convertible and a tasty cheque for $1.5m, Federer addressed the Houston crowd and concluded by saying ""thanks for having me"". Now he just needs to find a way of winning the French Open, the one Grand Slam to so far elude him.",sport
"Campbell, who left Downing Street earlier this year, will advise on media strategy before and during the tour. ""I hope I can contribute to the planning and preparation, and to ensuring the media and public get the most out of the tour itself,"" he said. ""I am also looking forward to going out for the later stages of the tour."" Woodward's decision to call in Prime Minister Tony Blair's former spin doctor springs from the deterioration in media relations on the last Lions tour of Australia in 2001, when New Zealander Graham Henry was the head coach. The furore surrounding the newspaper diaries of Matt Dawson and Austin Healey was compounded by other disillusioned players venting their frustration through the media. ""The Lions is a massive media event,"" said Woodward, who will be the head coach. ""There will be a huge level of interest from the travelling media, the fans that will go out in their thousands and the New Zealand public. ""We need to have the strategy and processes in place to deal with the pressures that will bring. ""[Alastair] will act as an advisor both in the build up to and on the tour itself. His role is to work closely with not only myself but (tour manager) Bill Beaumont, (media manager) Louisa Cheetham and (team manager) Louise Ramsay."" Campbell is due to resume working for the government in the new year in the build-up to an anticipated May general election. The Lions leave for New Zealand on 24 May, with the first Test match against the All Blacks in Christchurch on 25 June.",sport
"There can be no doubt that Ireland's representation will be the biggest ever, albeit in a proposed 44-man squad. In Brian O'Driscoll and Paul O'Connell, Ireland have now the two front-runners for the captaincy. Gordon D'Arcy, whose career began as a teenager back in 1999, finally arrived when he was named the Six Nations Player of the Tournament. But it was not only the senior squad that brought kudos to Ireland, the youngsters strutted their stuff on the big stage as well. The under-21 squad confounded the doubters as they went all the way to the World Cup final in Scotland only to be beaten by a powerful All Black side in the decider. The young Irish boys had stated their intentions earlier in the season when they finished runners-up to England in the Six Nations under-21 tournament. On the provincial front, Leinster, for second year in succession, blew it when the Heineken Cup looked a good wager. While Ulster finished runners-up in their very tight group for the second season in succession, it was Munster again flying the flag for the Irish. Looking to reach their third final, they went down 37-32 to eventual winners Wasps in what many beileve was the most competitive and thunderous game ever witnessed at Lansdowne Road. How Wasps recovered from that energy-sapping duel, and then go onto to defeat Toulouse in the final was anybody's guess. Ulster, meanwhile, just lost out to adding the inaugural Celtic Cup in winning the Celtic League when they were pipped at the post by the Scarlets in the final game.",sport
"If a bid comes in for Nicolas Anelka I will speak to the board and then speak to Kevin Keegan. If there was a bid and it was a bid of substance and worth taking then between us we'd decide. ""We still owe some money on Nicolas which we have clear out, so it would have to be above that."" Wardle did stress that the club was not inviting any offers for England winger Shaun Wright-Phillips. He added: ""I've no intention of selling Shaun Wright-Phillips. ""If someone comes with a silly bid I'll have to discuss it. ""But we're not putting him on the shelf to sell. He is the heart and soul of this club and has his heart and sole in this club, and he would be very upset if I put him in the shop window. ""He was an academy kid here, he's just signed a new four-year deal, I don't think he'd do that unless he wanted to play for Manchester City Football Club."" City recently announced debts of Â£62m, but Wardle confirmed they would try and find funds to bring in players in the January transfer window. He said: ""Like Kevin I'd like to see some players come in. We've got to see what we can do - whether it's a on a Bosman or not. ""We will try to be creative to generate some funds. But maybe we have to start looking at clubs like Everton and Bolton to see how they have been dealing in the transfer market and do a similar type of thing.""",sport
"The Spanish Football Federation at first declined to take action against Aragones, but was then requested to do so by Spain's anti-violence commission. The fine was far less than the expected amount of about Â£22,000 or even the suspension of his coaching licence. Arsenal boss Arsene Wenger, who was fined Â£15,000 in December for accusing Manchester United striker Ruud van Nistelrooy of cheating, believes that Aragones' punishment was too lenient. ""You compare his fine and my fine, and if you consider his was for racist abuse, then you seem to get away with it more in Spain than you should,"" Wenger said. ""He shouldn't have said what he said, and how much money is enough, I don't know but it doesn't look a big punishment."" However, Aragones insists the fine is unjustified and unfair. ""I have been treated like Islero (the bull that killed famous bullfighter Manolete),"" said Aragones on hearing he had been fined for his actions. ""I have not liked one thing about this whole affair and I do not agree with the sanction. They have looked for a scapegoat."" Spain's anti-violence commission must now ratify the Spanish FA's decision and has until next week to announce its verdict. Aragones has 10 days to appeal, and the commission can also appeal. Alberto Flores, president of the Spanish FA's disciplinary committee, said no-one in the committee felt Aragones was a racist nor had ""acted in a racist way."" ""A fine, the highest we could apply, is sufficient punishment. Suspension would have been a bit exaggerated,"" Flores told sports daily Marca.",sport
"But Leicester's England centre Ollie Smith has been added to the squad, giving him an opportunity to impress Lions coach Sir Clive Woodward, who takes charge of the North side. ""I think it's fantastic for Ollie,"" Tigers coach John Wells told BBC Radio Leicester. ""He was probably going to have the weekend off this week and I hope Clive gets the chance to see the qualities that Leicester and England have been seeing all year."" Woodward will also assess other potential Lions candidates such as Scotland pair Simon Taylor and Chris Paterson, Wales scrum-half Dwayne Peel and Ireland lock Paul O'Connell. ""I'm looking forward to working with such outstanding players,"" Woodward said. ""Both teams are fielding top-quality sides and I really hope that the rugby public and community get behind this game to raise as much money as possible for such a deserving cause."" Despite the withdrawal of Wales wing Rhys Williams, who is required for the Blues' Celtic League match with Munster, three other members of their Six Nations squad - Ceri Sweeney, John Yapp and Jonathan Thomas - will also play. ""Not only it is for a good cause but it gives these players the opportunity to play with and against some of the best players in the world,"" said WRU general manager Steve Lewis. Supporters can watch the teams train for free at Twickenham on Friday, 4 March. Woodward will put his North team through their paces at 1030 GMT, with the South side, coached by former Wallabies coach Rod Macqueen, due at the stadium at 1330.",sport
"And certainly if I was still a manager in England I would be supporting any calls for its introduction. In pre-season you get a lot of enthusiasm and energy but by the time you get towards Christmas many players, having also played plenty of international matches for club and country and travelled a lot, find themselves getting very jaded. ""The break gives them a chance to recover that energy and enthusiasm and, perhaps more importantly, recover their mental strength during the break and get ready for the games ahead. ""The mental side is by far the most important thing."" Hodgson added: ""The length of breaks can vary. In Italy the break was very short. You just took Christmas and New Year. ""It was so short you didn't do anything. You gave the players a week or 10 days off, then you were training for a week or 10 days and then went into a game. ""If it is longer, it is important those responsible for physical fitness give the players a programme to follow to ensure the physical strength they have accumulated stays with them."" And Hodgson believes a winter break would be a positive step in the Premiership. He said: ""If we talk about football at elite level, which the Premiership is, then I would support a winter break. ""If you examine the demands of the Premier League and, in particular on players who play international football for their club and country, then a break would do them the world of good - physically and mentally.""",sport
"Tom Smith has been there and done it before, but the likes of Chris Cusiter, Jason White and Ally Hogg all made their mark. Hogg made a couple of good runs while White had a pretty robust game - his defence is right up there. Cusiter looked very lively and he could be a very good option for Lions coach Sir Clive Woodward. The star of Ireland's win over Italy in Rome looks like a certainty to make the starting XV against New Zealand. Brian O'Driscoll is a class act. He ran some good lines against Italy, made the breaks and fed his outside backs, although Italy defended man on man which made it easy for him. Gordon D'Arcy was unlucky to go off injured early on but I think you could get a Henson, D'Arcy, O'Driscoll combination in the Lions midfield. Paul O'Connell just needs to add a hard edge to his game and Malcolm O'Kelly keeps on going and seems to be putting his hand up, while Shane Byrne seems to be a lively character. But they will be a bit worried after the Italian pack drove them off their own ball on Sunday, although I used to play in Italy and I know how difficult it can be. One player who didn't impress me was Wales scrum-half Dwayne Peel. He choked late on in the second half when Wales were trailing. They had good possession and he kicked the ball away - I wouldn't want him as my Lions scrum-half after that.",sport
"Apparently, Isinbayeva has cleared five metres in training and I would just love her to put us out of our misery and have a go at it rather than extending the indoor record by one centimetre at a time. Athletics to me is all about pushing the barriers and being the best you can, and I would like to see her have a go at 5m in competition. Mind you, every time she breaks the record she gets $30,000 so she can afford to be deliberate about it. World records aside, I thought it was a very encouraging evening's work for Kelly Holmes. She looked good and was very positive. Agnes Samaria, who came second, is in very good shape and is in the world's top three 800m runners this season. Yes, Samaria let Kelly get away, but there was no coming back over the last 200m as Kelly dominated the race, so beating Samaria is a bit of a benchmark for Kelly. My gut feeling is that Kelly would like to run in the European Indoor Championships, but she just hasn't convinced herself she is fit enough to do so. On the other hand, I think Jason Gardener is struggling to come near what is going to be required to win the men's 60m in Madrid. He started well in the final but still could not stay with the front-runners. Jason has a lot of experience indoors but for some reason he is struggling to maintain his pace through to the finish.",sport
"Six years earlier, also in New Zealand, Grewcock became only the second England player to be sent off in Tests. The player himself and his captain Jason Robinson have both said that the clash with Peel was accidental. ""If the ball is at the back of the ruck and I feel I can step over and disrupt it then I will do that,"" said Grewcock. But Ruddock feels that the England man should be more careful. ""The boy himself should look at his actions, it was a clumsy piece of footwork,"" he said. ""He's a great player and I don't want to knock him, we won't be calling for the match commissioner to review the incident. ""I'm not going to go too far with the lad. It could just be a clumsy action and Dwayne had just a minor cut. ""The referee's interpretation was that Grewcock was attempting to step over the ruck."" Ruddock also warned his RBS 6 Nations Championship rivals that his team can make massive improvements. ""We created more opportunities and also squandered them by taking more contact and playing more individually,"" said the coach. ""We've looked through things on the video debrief and there were definitely a lot of chances that we wasted."" In the forthcoming games, Ruddock may use penalty hero Gavin Henson as his first-choice kicker in place of Stephen Jones. ""Our first aim was to get Gavin settled into the team, but it's something we'll talk about in selection this week,"" said Ruddock.",sport
"When you come to an undertaking like this and you are trying to make a difference then there are always people who will begrudge you, who are jealous and want to try to drag you down. When you have that situation, you have to have the courage of your convictions to see it through. ""There was some very unhelpful and uninformed comment that the national team had received a massive increase in budget at the expense of other parts of Scottish rugby and that is simply not the case. ""Like all good coaches, you go and ask for an increase. But we were told in no uncertain terms that the financial situation did not allow that. ""The idea that we are lighting cigars with Â£20 notes while the rest of Scottish rugby flounders is absolutely untrue. ""We also attracted criticism because of the number of days players spent with the national team. ""But let me give you the truth. Our Irish counterparts, whom we have to compete with in a few days' time, had 70 days together at the summer. ""They are currently in camp now and they will have another 21 days in camp before the Six Nations. ""That means they will have 91 days away from their club from July until the Six Nations. We, on the other hand, will have 16. ""There must be a win-win philosophy and attitude within Scottish rugby and that is what we are after - both groups winning, not competing.""",sport
"Soon afterwards, Jarosik found space in the area to powerfully head Lampard's corner goalwards but James tipped the ball over. Chelsea were now looking more like Premiership leaders and James kept out Kezman's fierce drive before Bosvelt and James combined to clear Gallas' header from Duff's corner. City broke swiftly up the field and the last chance of a frenetic spell should have resulted in Fowler celebrating his 150th Premiership goal. Wright-Phillips raced down the left and crossed to Fowler but City's lone man up front, left free by Terry's slip, contrived to head wide when it seemed a breakthrough was certain. The second half started as quietly as the first, although James was forced to divert a cross from the lively Duff away from Eidur Gudjohnsen's path. There was a nasty moment for Petr Cech, looking for a ninth straight clean sheet in the league, when a series of ricochets saw Fowler chase a loose ball in the area and collide accidently with the Czech Republic stopper. Another quiet spell followed, which Duff interrupted with a surging run that was halted illegally on the edge of the penalty area by Bosvelt. Lampard stepped up to blast a shot through the wall and James somehow blocked it with his legs. Another timely challenge, this time from Richard Dunne in time added on, prevented Gudjohnsen from getting in a shot. There was still time for James to produce a sensational save to tip Lampard's volley round the post.",sport
"But that world now lies buried under skyscrapers. The most turbulent place in this frenetic city is Sport Club Corinthians. It is the most passionately supported club in Brazil. Pel&#233; scored reams of goals against them, reasoning that unless he did something special the Corinthians fans were capable of winning the game on their own. That passion can also be turned against the team - especially nowadays, when the level of urban violence gives a hysterical edge to life in Brazil's big cities. Corinthians fans have invaded the dressing room or ambushed the team coach to attack the players. Tevez, then, can kiss tranquillity goodbye. He can also say farewell to the Copa Libertadores, South America's Champions League. Corinthians have not qualified. Indeed, he will have a long wait for a worthwhile match. Next year's Brazilian Championship only gets underway at the end of April. Until then he will have to make do with the foolish S&#227;o Paulo State Championship, an appalling waste of his talent. There will be matches in small towns on poor pitches with plenty of defenders keen to kick him all the way back to Argentina. Like so many of the top South American players, Tevez has the gift of being able to surprise - to feint right and go left, to pass when he was expected to dribble, to shoot and catch the goalkeeper unawares. But his choice of destination is the biggest surprise of all.",sport
"However, the experienced and in-form Morgan was already pushing hard for a start at Stade de France. ""Due to his impressive performances from the bench, Kevin was very much in the selection mix anyway, and the unfortunate injury to Hal gives him the chance to start,"" said Ruddock. ""Now that Ryan Jones has recovered from injury, we have increased the options in the back row. ""Jonathan Thomas is unlucky to lose his spot after performing well against Italy and scoring a try, but such is the competition for places that every position is debated in detail. ""For this particular game, we felt we might not always be afforded the open spaces out wide we were able to exploit against Italy, so an extra big ball-carrier in the back-row is thought to be necessary on this occasion. ""Obviously, it's a 22-man game these days, and there is every chance that Jonathan will be making an impact from the bench."" Wales have beaten France on two of their last three visits to Paris, and another victory this time around would keep them firmly on course for a first Five or Six Nations title triumph since 1994. ""Graham Henry (former Wales coach) said a couple of years ago that we should 'be bold' when going to France, and he was proved right,"" said Ruddock. ""That is a great way to approach the game, and something we will further endorse with the players this week.""",sport
"Something else that probably went unnoticed was Melanie Purkiss winning the women's national 400m race in a new personal best of 52.98 seconds. AAAs champion Kim Wall came second in another lifetime best so we have a very strong 4x400m squad going to the European Championships. Scotland's Lee McConnell is probably going to run too, so we have a real prospect of a medal. From an international perspective, I thought Meseret Defar was disappointing in the 3,000m, but I don't think the pace-making was great. Canadian Heather Hennigar set a fast early pace but could not maintain it and if Jo Pavey had been in last year's shape she would have given Defar a real run for her money. She had a go but just could not hang in there. We were also expecting a bit more from Bernard Lagat in the men's 1500m. But he has only just come over from the USA, so he may not be that sharp and I still think he is in great shape. As for Kenenisa Bekele, he was well beaten by Markos Geneti. But we only had half expectations for Bekele as he has been struggling this season. It was very hot in the National Indoor Arena and I felt uncomfortable in the commentary box. I think those conditions affected the distance runners and in fact Defar complained to her coach after the race that she could not get her breath properly.",sport
